batch,fragname,confname,energy,enthalpy
batch1,frag1084,0,,
batch1,frag1069,11,,
batch1,frag1142,27,,
batch1,frag1131,85,,
batch1,frag1024,64,,
batch1,frag1079,0,,
batch1,frag1055,34,,
batch1,frag1059,53,,
batch1,frag1014,26,,
batch1,frag1132,143,,
batch1,frag1009,472,,
batch1,frag1009,95,,
batch1,frag1162,1,,
batch1,frag1131,101,,
batch1,frag1089,43,,
batch1,frag1030,49,,
batch1,frag1093,147,,
batch1,frag1117,18,,
batch1,frag1125,79,,
batch1,frag1112,30,,
batch1,frag1093,196,,
batch1,frag1078,14,,
batch1,frag1153,22,,
batch1,frag1044,31,,
batch1,frag1009,304,,
batch1,frag1005,23,,
batch1,frag1009,44,,
batch1,frag1163,60,,
batch1,frag1132,192,,
batch1,frag1150,3,,
batch1,frag1026,47,,
batch1,frag1101,16,,
batch1,frag1072,4,,
batch1,frag1067,55,,
batch1,frag1131,216,,
batch1,frag110,55,,
batch1,frag107,2,,
batch1,frag1057,17,,
batch1,frag1131,54,,
batch1,frag1113,163,,
batch1,frag1094,21,,
batch1,frag1127,127,,
batch1,frag1126,34,,
batch1,frag1094,179,,
batch1,frag1167,26,,
batch1,frag107,35,,
batch1,frag1070,35,,
batch1,frag1112,108,,
batch1,frag1031,27,,
batch1,frag1157,64,,
batch1,frag1032,221,,
batch1,frag1054,9,-0.0323736634779,0.068936
batch1,frag1143,49,,
batch1,frag1012,43,,
batch1,frag1135,12,,
batch1,frag1106,5,,
batch1,frag1024,2,,
batch1,frag1148,25,,
batch1,frag1015,48,,
batch1,frag1144,42,,
batch1,frag1132,19,,
batch1,frag1137,31,,
batch1,frag1051,72,,
batch1,frag1027,29,0.0207648719192,0.120079
batch1,frag1061,30,,
batch1,frag1056,79,,
batch1,frag1107,73,-0.0904133427518,0.007901
batch1,frag1127,230,,
batch1,frag1020,22,,
batch1,frag1003,46,,
batch1,frag1124,17,,
batch1,frag1128,70,,
batch1,frag1031,174,,
batch1,frag1081,62,,
batch1,frag1032,136,,
batch1,frag1072,16,,
batch1,frag1049,38,,
batch1,frag109,71,,
batch1,frag1016,0,,
batch1,frag1134,7,,
batch1,frag1093,87,,
batch1,frag1023,13,,
batch1,frag1157,9,,
batch1,frag1055,48,,
batch1,frag1127,2,,
batch1,frag100,8,-0.0776746322149,0.023362
batch1,frag1024,18,,
batch1,frag1013,51,,
batch1,frag1005,5,,
batch1,frag1052,43,,
batch1,frag1138,67,,
batch1,frag1071,27,,
batch1,frag1126,227,,
batch1,frag1030,35,,
batch1,frag1113,208,,
batch1,frag1082,53,,
batch1,frag1127,26,,
batch1,frag1009,378,,
batch1,frag1032,16,,
batch1,frag1158,32,,
batch1,frag1009,38,,
batch1,frag1119,20,,
batch1,frag108,63,,
batch1,frag1037,7,,
batch1,frag1164,17,,
batch1,frag1115,0,,
batch1,frag1043,46,,
batch1,frag1080,70,,
batch1,frag1060,22,,
batch1,frag1132,228,,
batch1,frag1013,80,,
batch1,frag1106,61,,
batch1,frag1131,28,,
batch1,frag1021,30,,
batch1,frag1016,79,,
batch1,frag1009,719,,
batch1,frag1136,23,,
batch1,frag1050,60,,
batch1,frag1067,29,,
batch1,frag110,29,,
batch1,frag1093,56,,
batch1,frag1126,130,,
batch1,frag1061,1,,
batch1,frag107,49,,
batch1,frag1143,6,,
batch1,frag1006,12,,
batch1,frag1157,18,,
batch1,frag1070,49,,
batch1,frag1112,174,,
batch1,frag1009,220,,
batch1,frag114,7,,
batch1,frag1009,587,,
batch1,frag1094,105,,
batch1,frag1126,48,,
batch1,frag1097,10,,
batch1,frag1054,26,-0.0221891564748,0.079044
batch1,frag1058,41,,
batch1,frag1132,65,,
batch1,frag1015,34,,
batch1,frag1019,53,,
batch1,frag1058,7,,
