frag_id,charge,spin_multiplicity,fragment
frag0,0,1,[H]O[O+]1C([H])([H])C([H])([H])[C@]1([H])[O-]
frag1,0,1,[H]O[O+]1C([H])([H])C([H])([H])[C@@]1([H])[O-]
frag2,0,1,[H][O+]1OC([H])([H])C([H])([H])[C@]1([H])[O-]
frag3,0,1,[H][O+]1OC([H])([H])C([H])([H])[C@@]1([H])[O-]
frag4,0,1,[H]O[O+]1O[C-]([H])C([H])([H])C1([H])[H]
frag5,0,1,[H][C-]1O[O+]([H])OC([H])([H])C1([H])[H]
frag6,0,1,[H]CC([H])([H])C([H])([H])/[O+]=[O+]/[H]
frag7,0,1,[O-2]
frag8,0,1,[H]CC([H])([H])C([H])([H])/[O+]=[O+]\[H]
frag9,0,2,[H]C#[O+]
frag10,0,2,[H]OOC([H])([H])[C-]([H])[H]
frag11,0,2,[H]C([H])=C([H])[O-]
frag12,0,2,[H]O[O+]=C([H])[H]
frag13,0,2,[H]C(=O)C([H])([H])[C-]([H])[H]
frag14,0,2,[H][O+]=O
frag15,0,1,[H]OOC([H])([H])[C@@]([H])([O-])[C+]([H])[H]
frag16,0,1,[H]OOC([H])([H])[C@]([H])([O-])[C+]([H])[H]
frag17,0,2,[H]C1([H])C([H])([H])C1([H])[O-]
frag18,0,1,[H]OOC([H])([H])[C+]([H])C([H])([H])[O-]
frag19,0,1,[H]O[O+](C([H])=O)C([H])([H])[C-]([H])[H]
frag20,0,1,[H]O[O+]([C-]([H])[H])[C@@]([H])([O-])[C+]([H])[H]
frag21,0,1,[H]O[O+]([C-]([H])[H])[C@]([H])([O-])[C+]([H])[H]
frag22,0,1,[H]OO[C@@]([H])([O-])C([H])([H])[C+]([H])[H]
frag23,0,1,[H]OO[C@]([H])([O-])C([H])([H])[C+]([H])[H]
frag24,0,2,[H+]
frag25,0,2,[H]C1([H])[O+]([O-])[C@@]([H])([O-])C1([H])[H]
frag26,0,2,[H]C1([H])[O+]([O-])[C@]([H])([O-])C1([H])[H]
frag27,0,1,[H]O/[O+]=C(\[H])C([H])([H])C([H])([H])[O-]
frag28,0,1,[H]O/[O+]=C(/[H])C([H])([H])C([H])([H])[O-]
frag29,0,1,[H]C(=O)[O+]([H])OC([H])([H])[C-]([H])[H]
frag30,0,1,[H][C+]([H])[C@]([H])([O-])[O+]([H])O[C-]([H])[H]
frag31,0,1,[H][C+]([H])[C@@]([H])([O-])[O+]([H])O[C-]([H])[H]
frag32,0,1,[H][C+]([H])C([H])([H])[C@]([H])([O-])[O+]([H])[O-]
frag33,0,1,[H][C+]([H])C([H])([H])[C@@]([H])([O-])[O+]([H])[O-]
frag34,0,1,[H]C([H])([O-])C([H])([H])C([H])([H])[O+]=O
frag35,0,1,[H]/[C-]=[O+]/C([H])([H])C([H])([H])OO[H]
frag36,0,1,[H]/[C-]=[O+]\C([H])([H])C([H])([H])OO[H]
frag37,0,2,[H]C1=[O+]C1([H])[H]
frag38,0,2,[H]OO[C-]([H])[H]
frag39,0,1,[H]OOC([H])([H])C([H])([H])/[C-]=[O+]/[H]
frag40,0,1,[H]OOC([H])([H])C([H])([H])/[C-]=[O+]\[H]
frag41,0,1,[H]OOC([H])([H])OC([H])=C([H])[H]
frag42,0,2,[H]C1=[O+]C([H])([H])C1([H])[H]
frag43,0,2,[H]O[O-]
frag44,0,1,[H]OOC([H])([H])/C([H])=C(\[H])O[H]
frag45,0,1,[H]OOC([H])([H])/C([H])=C(/[H])O[H]
frag46,0,1,[H]CC([H])([H])C([H])([H])[O+]([O-])O[H]
frag47,0,1,[H]/[C-]=[O+]/[O+](O[H])C([H])([H])[C-]([H])[H]
frag48,0,1,[H]/[C-]=[O+]\[O+](O[H])C([H])([H])[C-]([H])[H]
frag49,0,1,[H]O[O+](OC([H])=C([H])[H])[C-]([H])[H]
frag50,0,1,[H]OO/[O+]=C(\[H])C([H])([H])[C-]([H])[H]
frag51,0,1,[H]OO/[O+]=C(/[H])C([H])([H])[C-]([H])[H]
frag52,0,2,[H]C1=[O+]OC([H])([H])C1([H])[H]
frag53,0,2,[H][O-]
frag54,0,1,[H]OO[C-]([H])C([H])([H])/C([H])=[O+]/[H]
frag55,0,1,[H]OO[C-]([H])C([H])([H])/C([H])=[O+]\[H]
frag56,0,1,[H]CC([H])([H])C([H])([H])O[O+]([H])[O-]
frag57,0,1,[H]/[C-]=[O+]/[O+]([H])OC([H])([H])[C-]([H])[H]
frag58,0,1,[H]/[C-]=[O+]\[O+]([H])OC([H])([H])[C-]([H])[H]
frag59,0,1,[H]C([H])=C([H])O[O+]([H])O[C-]([H])[H]
frag60,0,1,[H]/C(=[O+]\[O+]([H])[O-])C([H])([H])[C-]([H])[H]
frag61,0,1,[H]/C(=[O+]/[O+]([H])[O-])C([H])([H])[C-]([H])[H]
frag62,0,1,[H]/[O+]=C(\[H])C([H])([H])C([H])([H])O[O-]
frag63,0,1,[H]/[O+]=C(/[H])C([H])([H])C([H])([H])O[O-]
frag64,0,2,[H]O[O+]1C([H])([H])C1([H])[H]
frag65,0,2,[H][C-]=O
frag66,0,1,[H]O[O+]([C-]([H])[H])C([H])([H])C([H])=O
frag67,0,2,[H][O+]1OC([H])([H])C1([H])[H]
frag68,0,1,[H]C(=O)C([H])([H])[O+]([H])O[C-]([H])[H]
frag69,0,1,[H]O[O+]([H])C([H])([H])C([H])([H])[C-]=O
frag70,0,1,[H][O+]([H])OC([H])([H])C([H])([H])[C-]=O
frag71,0,2,[H][O+]1OC1([H])[H]
frag72,0,1,[H]C(=O)C([H])([H])C([H])([H])[O+]([H])[O-]
frag73,0,1,[H]O[O+]([H])C([H])([H])/C([H])=C(\[H])[O-]
frag74,0,1,[H]O[O+]([H])C([H])([H])/C([H])=C(/[H])[O-]
frag75,0,1,[H]/C([O-])=C(/[H])C([H])([H])O[O+]([H])[H]
frag76,0,1,[H]/C([O-])=C(\[H])C([H])([H])O[O+]([H])[H]
frag77,0,1,[H]O[O+]([H])[C-]([H])C([H])([H])C([H])=O
frag78,0,1,[H]C(=O)C([H])([H])[C-]([H])O[O+]([H])[H]
frag79,0,2,[H]/[O+]=[O+]/[C+]([H])[H]
frag80,0,2,[H][C-]=C([H])[H]
frag81,0,2,[H]/[O+]=[O+]\[C+]([H])[H]
frag82,0,2,[H]/[C-]=C(\[H])C([H])([H])/[O+]=[O+]/[H]
frag83,0,2,[H]/[C-]=C(/[H])C([H])([H])/[O+]=[O+]/[H]
frag84,0,2,[H]/[C-]=C(\[H])C([H])([H])/[O+]=[O+]\[H]
frag85,0,2,[H]/[C-]=C(/[H])C([H])([H])/[O+]=[O+]\[H]
frag86,0,2,[H]CC([H])([H])[C+]([H])[H]
frag87,0,2,[H]CC([H])([H])C([H])([H])[O+]=O
frag88,0,1,[H]C([H])=C([H])[H]
frag89,0,1,[H]C([H])([O-])C([H])([H])C#[O+]
